"Date","Price","Open","High","Low","Vol.","Change %"
"01/22/2017","1,372.59","1,354.35","1,377.78","1,346.19","","1.35%"
"01/15/2017","1,354.35","1,369.62","1,369.78","1,352.43","","-1.11%"
"01/08/2017","1,369.62","1,374.08","1,377.62","1,360.43","","-0.32%"
"01/01/2017","1,374.08","1,351.68","1,378.23","1,341.61","","1.66%"
"12/25/2016","1,351.68","1,330.31","1,354.15","1,330.26","","1.61%"
"12/18/2016","1,330.31","1,341.58","1,348.15","1,329.46","","-0.84%"
"12/11/2016","1,341.58","1,324.80","1,344.96","1,319.69","","1.27%"
"12/04/2016","1,324.80","1,306.56","1,324.80","1,305.20","","1.40%"
"11/27/2016","1,306.56","1,295.67","1,308.64","1,270.79","","0.84%"
"11/20/2016","1,295.67","1,307.44","1,314.38","1,294.96","","-0.90%"
"11/13/2016","1,307.44","1,299.03","1,311.81","1,291.78","","0.65%"
"11/06/2016","1,299.03","1,345.66","1,360.60","1,292.93","","-3.47%"
"10/30/2016","1,345.66","1,360.96","1,375.56","1,345.66","","-1.12%"
"10/23/2016","1,360.96","1,362.97","1,364.62","1,352.19","","-0.15%"
"10/16/2016","1,362.97","1,346.07","1,367.73","1,344.96","","1.26%"
"10/09/2016","1,346.07","1,348.20","1,358.46","1,343.60","","-0.16%"
"10/02/2016","1,348.20","1,338.83","1,348.32","1,320.90","","0.70%"
"09/25/2016","1,338.83","1,351.60","1,354.98","1,327.09","","-0.94%"
"09/18/2016","1,351.60","1,354.63","1,363.46","1,337.09","","-0.22%"
